"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[GLOBAL]","[GLOBAL]"
"Discount","Discount"
"Fixed","Fixed"
"Percent","Percent"
"Yes","Yes"
"No","No"
"Zip/Postal Code is Range","Zip/Postal Code is Range"
"Zip/Postal Code","Zip/Postal Code"
"'*' - matches any.","'*' - matches any."
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
"Amount","Amount"
"Apply","Apply"
"Submit","Submit"
"Add Discount","Add Discount"
"Action","Action"
"Are you sure you want to delete discount?","Are you sure you want to delete discount?"
"Zone Discounts","Zone Discounts"
"Store View","Store View"
"Duplicate website tier price store, warehouse, customer group, quantity and currency.","Duplicate website tier price store, warehouse, customer group, quantity and currency."
"Duplicate website tier price store, warehouse, customer group and quantity.","Duplicate website tier price store, warehouse, customer group and quantity."
"Duplicated price.","Duplicated price."
"The price was not found.","The price was not found."
"The price has been saved.","The price has been saved."
"An error occurred while saving the price: %s.","An error occurred while saving the price: %s."
"The price has been deleted.","The price has been deleted."
"Recalculate by","Recalculate by"
"Warehouse","Warehouse"
"Currency","Currency"
"Price","Price"
"Default Price","Default Price"
"Default","Default"
"All Store Views","All Store Views"
"All Warehouses","All Warehouses"
"All Currencies","All Currencies"
"+","+"
